# Archivo de símbolos de ejemplo para el Analizador Bursátil
# Copia este archivo y modifica según tus necesidades

# Símbolos recomendados por fuente de datos
# Formato: símbolo,descripción,fuente_recomendada

# ACCIONES ESTADOUNIDENSES (Yahoo Finance)
AAPL,Apple Inc.,yahoo
MSFT,Microsoft Corporation,yahoo
GOOGL,Alphabet Inc.,yahoo
TSLA,Tesla Inc.,yahoo
AMZN,Amazon.com Inc.,yahoo
NVDA,NVIDIA Corporation,yahoo
META,Meta Platforms Inc.,yahoo
NFLX,Netflix Inc.,yahoo
AMD,Advanced Micro Devices Inc.,yahoo
INTC,Intel Corporation,yahoo

# CRIPTOMONEDAS (Binance)
BTCUSDT,Bitcoin/USDT,binance
ETHUSDT,Ethereum/USDT,binance
ADAUSDT,Cardano/USDT,binance
SOLUSDT,Solana/USDT,binance
DOTUSDT,Polkadot/USDT,binance
MATICUSDT,Polygon/USDT,binance
AVAXUSDT,Avalanche/USDT,binance
LINKUSDT,Chainlink/USDT,binance
UNIUSDT,Uniswap/USDT,binance
ATOMUSDT,Cosmos/USDT,binance

# ACCIONES EUROPEAS (Stooq)
AAPL.US,Apple Inc. (US),stooq
MSFT.US,Microsoft Corporation (US),stooq
GOOGL.US,Google (US),stooq
TSLA.US,Tesla Inc. (US),stooq
AMZN.US,Amazon.com Inc. (US),stooq

# ÍNDICES (Yahoo Finance)
^GSPC,S&P 500,yahoo
^DJI,Dow Jones Industrial Average,yahoo
^IXIC,NASDAQ Composite,yahoo
^VIX,CBOE Volatility Index,yahoo
^TNX,10-Year Treasury Note,yahoo

# COMMODITIES (Yahoo Finance)
GC=F,Gold Futures,yahoo
CL=F,Crude Oil Futures,yahoo
SI=F,Silver Futures,yahoo
NG=F,Natural Gas Futures,yahoo
PL=F,Platinum Futures,yahoo

# FOREX (Yahoo Finance)
EURUSD=X,EUR/USD,yahoo
GBPUSD=X,GBP/USD,yahoo
USDJPY=X,USD/JPY,yahoo
AUDUSD=X,AUD/USD,yahoo
USDCAD=X,USD/CAD,yahoo
